RM_ID,RM_Name,Region,Target_Lakhs,Fresh_Lakhs,Renewal_Lakhs,Focus_Lakhs,Target_GWP,Achieved_GWP,Annual_Points,Loss_Ratio,Renewal_Rate,Adjusted Premium,Adjusted Achievement %,Base Incentive Pool,Elevate Payout Multiplier,Final Elevate Incentive (Lakhs),Legacy Base PLI (Lakhs),PDF Consistency Booster Tier,Final Legacy PDF Incentive (Lakhs)
RZ3501,RM64,EAST,809000,619148,572836,17545.66667,0.08,0.12,11,70,72.8,1373090,1.7,12135,1.5,18202.5,0.1,0.1,0.2
RZ3521,RM65,WEST 1,776000,290711,329899,20849,0.08,0.06,38,70,77.3,724561,0.93,11640,0.8,9312,0.1,0.2,0.1
RZ3636,RM66,NORTH,1879000,269389.678,433871.67,21960,0.19,0.07,4,70,88.4,803549,0.43,28185,0,0,0.1,0,0.1
RZ3657,RM67,NORTH,1947000,269119.9153,263371,12600,0.19,0.05,19,70,53.8,618671,0.32,29205,0,0,0.1,0.1,0.1
RZ3664,RM68,EAST,700000,237411.9322,417324,6180,0.07,0.07,13,70,79,723359,1.03,10500,1.1,11550,0.1,0.1,0.1
RZ3692,RM69,NORTH,1052000,829294.678,140172,22200,0.11,0.1,20,70,34.5,1210090,1.15,15780,1.1,17358,0.1,0.1,0.1
RZ3805,RM70,SOUTH 2,1187000,473633.6102,318243,0,0.12,0.08,24,70,57.6,910285,0.77,17805,0.5,8902.5,0.1,0.2,0.1
RZ3936,RM71,EAST,718000,153710.6102,120526,17984,0.07,0.03,8,70,65.8,339640,0.47,10770,0,0,0,0.1,0
RZ3956,RM72,EAST,731000,255304,620218,24590,0.07,0.09,30,70,79.6,976233,1.34,10965,1.5,16447.5,0.1,0.2,0.1
RZ3964,RM73,WEST 2,1382000,124491,299233,36045,0.14,0.04,18,70,75,508914,0.37,20730,0,0,0.1,0.1,0.1
RZ4006,RM74,SOUTH 2,1462000,615449.4068,437510,58140,0.15,0.11,14,70,167.9,1294032,0.89,21930,0.8,17544,0.1,0.1,0.1
RZ4035,RM75,NORTH,1375000,2763274,152810,911769,0.14,0.29,21,70,97.6,4974556,3.62,20625,1.5,30937.5,0.3,0.1,0.4
RZ4039,RM76,SOUTH 1,1715000,495976.8983,100452,34820,0.17,0.06,13,70,35.3,772653,0.45,25725,0,0,0.1,0.1,0.1
RZ4045,RM77,SOUTH 1,630000,423938.9153,0,0,0.06,0.04,18,70,0,529924,0.84,9450,0.5,4725,0.1,0.1,0.1
RZ4059,RM78,SOUTH 2,1256000,330213,153696,1200,0.13,0.05,5,70,79.6,568262,0.45,18840,0,0,0.1,0,0.1
RZ4062,RM79,NORTH,1042000,319399,271462,49260,0.1,0.06,27,70,56,744601,0.71,15630,0.5,7815,0.1,0.2,0.1
RZ4069,RM80,SOUTH 2,963000,223397.7627,634624,0,0.1,0.09,33,70,120.3,913871,0.95,14445,0.8,11556,0.1,0.2,0.1
RZ4072,RM81,EAST,700000,355182,293797,0,0.07,0.06,19,70,79.1,737775,1.05,10500,1.1,11550,0.1,0.1,0.1
RZ4114,RM82,EAST,996000,205820.0508,185708,2550,0.1,0.04,23,70,37.7,446808,0.45,14940,0,0,0,0.2,0.1
RZ4131,RM83,NORTH,1822000,876152,112169,112241,0.18,0.1,11,70,35.8,1375721,0.76,27330,0.5,13665,0.1,0.1,0.1
RZ4188,RM84,SOUTH 2,2194000,363672.8305,1105272.34,0,0.22,0.15,8,70,106.6,1559863,0.71,32910,0.5,16455,0.2,0.1,0.2
RZ4189,RM85,SOUTH 1,975000,335610.7627,85982,0,0.1,0.04,27,70,22.9,505495,0.52,14625,0,0,0.1,0.2,0.1
RZ4194,RM86,EAST,913000,255717.9661,179150,0,0.09,0.04,4,70,34.4,498797,0.55,13695,0,0,0.1,0,0.1
RZ4197,RM87,SOUTH 2,1722000,303358.1695,243064,6000,0.17,0.05,20,70,51.1,631262,0.37,25830,0,0,0.1,0.1,0.1
RZ4240,RM88,EAST,1047000,367860.6441,334007,71095.83333,0.1,0.07,15,70,77.3,900477,0.86,15705,0.8,12564,0.1,0.1,0.1
RZ4255,RM89,SOUTH 1,846000,591610,0,0,0.08,0.06,19,70,0,739513,0.87,12690,0.8,10152,0.1,0.1,0.1
RZ4266,RM90,SOUTH 2,1450000,185575.9661,1032498,0,0.15,0.12,36,70,208,1264468,0.87,21750,0.8,17400,0.1,0.2,0.2
RZ4327,RM91,SOUTH 1,500000,239655,0,0,0.05,0.02,10,70,0,299569,0.6,7500,0,0,0,0.1,0
RZ4336,RM92,SOUTH 2,847000,344973.2542,88980,28300,0.08,0.04,26,70,27.7,562647,0.66,12705,0,0,0.1,0.2,0.1
RZ4357,RM93,SOUTH 1,594000,79952.76271,0,0,0.06,0.01,6,70,0,99941,0.17,8910,0,0,0,0,0
RZ4361,RM94,NORTH,1086000,42711.49153,55022,510,0.11,0.01,21,70,26.9,109176,0.1,16290,0,0,0,0.1,0
RZ4376,RM95,SOUTH 1,2354000,949471.7627,1285160,580170,0.24,0.22,22,70,117.1,3342255,1.42,35310,1.5,52965,0.3,0.2,0.3
RZ4387,RM96,SOUTH 1,1212000,101110,87699,0,0.12,0.02,14,70,39.4,214087,0.18,18180,0,0,0,0.1,0
RZ4390,RM97,EAST,1039000,264763.1017,261494,750,0.1,0.05,16,70,54.9,593573,0.57,15585,0,0,0.1,0.1,0.1
RZ4392,RM98,WEST 1,1655000,233828.322,694825,37563,0.17,0.09,12,70,109,1043455,0.63,24825,0,0,0.1,0.1,0.1
RZ4395,RM99,NORTH,2116000,2721987.136,18571,428439,0.21,0.27,28,70,6.4,4063713,1.92,31740,1.5,47610,0.3,0.2,0.4
RZ4421,RM100,SOUTH 1,666000,377983,0,0,0.07,0.04,39,70,0,472479,0.71,9990,0.5,4995,0,0.2,0.1
RZ4438,RM101,SOUTH 1,1371000,617867.9661,138051,1625,0.14,0.08,5,70,8.9,912823,0.67,20565,0,0,0.1,0,0.1
RZ4443,RM102,SOUTH 2,1275000,279762.2881,25818,4700,0.13,0.03,22,70,34.5,382571,0.3,19125,0,0,0,0.2,0
RZ4457,RM103,NORTH,2317000,1315477,77063,3289.333333,0.23,0.14,17,70,37.6,1726343,0.75,34755,0.5,17377.5,0.2,0.1,0.2
RZ4461,RM104,SOUTH 1,959000,739129.4237,40058,3000,0.1,0.08,15,70,37.9,968470,1.01,14385,1.1,15823.5,0.1,0.1,0.1
RZ4464,RM105,SOUTH 1,700000,344538,69313,0,0.07,0.04,24,70,72.1,499986,0.71,10500,0.5,5250,0,0.2,0.1
RZ4465,RM106,SOUTH 2,1310000,164657.1017,250672,73605,0.13,0.04,21,70,80.5,566901,0.43,19650,0,0,0,0.1,0.1
RZ4467,RM107,SOUTH 1,2461000,547601,2114116,76333,0.25,0.27,30,70,106,2913117,1.18,36915,1.3,47989.5,0.3,0.2,0.4
RZ4479,RM108,SOUTH 2,929000,584187.1356,112563.42,5805,0.09,0.07,9,70,77.3,851505,0.92,13935,0.8,11148,0.1,0.1,0.1
RZ4488,RM109,SOUTH 2,702000,52495,0,0,0.07,0.01,19,70,0,65619,0.09,10530,0,0,0,0.1,0
RZ4495,RM110,EAST,1320000,17076680,1166059,18375,0.13,1.82,32,70,170.1,22539472,17.08,19800,1.5,29700,2.2,0.2,2.8
RZ4517,RM111,SOUTH 2,1368000,174416.9153,863268,0,0.14,0.1,4,70,125.1,1081289,0.79,20520,0.5,10260,0.1,0,0.1
RZ4570,RM112,SOUTH 2,700000,430017.3729,423499,0,0.07,0.09,20,70,59.4,961021,1.37,10500,1.5,15750,0.1,0.1,0.1
RZ4577,RM113,SOUTH 2,1104000,559477.2203,36719,54585,0.11,0.06,14,70,27.7,817943,0.74,16560,0.5,8280,0.1,0.1,0.1
RZ4601,RM114,EAST,700000,279062.5593,324494,940,0.07,0.06,24,70,69.8,674732,0.96,10500,0.8,8400,0.1,0.2,0.1
RZ4628,RM115,EAST,856000,266348,457992,4405,0.09,0.07,18,70,62.1,797535,0.93,12840,0.8,10272,0.1,0.1,0.1
RZ4629,RM116,EAST,1738000,42976.22034,141752,0,0.17,0.02,11,70,0,195472,0.11,26070,0,0,0,0.1,0
RZ4642,RM117,WEST 1,7938000,2586205,0,1336116.65,0.79,0.26,25,70,0,5236931,0.66,119070,0,0,0.3,0.2,0.4
RZ4643,RM118,EAST,1039000,527685,545799,16337,0.1,0.11,6,70,67.9,1229911,1.18,15585,1.3,20260.5,0.1,0,0.1
RZ4645,RM119,EAST,888000,378494,79212,0,0.09,0.05,16,70,20.1,552330,0.62,13320,0,0,0.1,0.1,0.1
RZ4657,RM120,SOUTH 1,942000,371924.6271,6833,0,0.09,0.04,28,70,4.2,471739,0.5,14130,0,0,0,0.2,0.1
RZ4706,RM121,WEST 2,801000,451975.2203,547836,41100,0.08,0.1,17,70,95.6,1174455,1.47,12015,1.5,18022.5,0.1,0.1,0.1
RZ4710,RM122,SOUTH 2,2556000,386404.9153,328730,510,0.26,0.07,17,70,75.9,812501,0.32,38340,0,0,0.1,0.1,0.1
RZ4726,RM123,EAST,676000,275361,16345,0,0.07,0.03,10,70,26,360546,0.53,10140,0,0,0,0.1,0
RZ4781,RM124,WEST 1,1150000,1286116.322,83743,10416.66667,0.12,0.14,22,70,39.8,1707013,1.48,17250,1.5,25875,0.2,0.2,0.2
RZ4784,RM125,WEST 2,937000,110240.3559,264614,0,0.09,0.04,34,70,0,402414,0.43,14055,0,0,0,0.2,0.1
RZ4801,RM126,NORTH,1347000,377641.7966,173040,67460,0.13,0.06,9,70,70.2,746282,0.55,20205,0,0,0.1,0.1,0.1
RZ4814,RM127,NORTH,1979000,321926.6949,419161,37800,0.2,0.07,27,70,112.9,878269,0.44,29685,0,0,0.1,0.2,0.1
RZ4819,RM128,WEST 2,1902000,229095.2203,749478.34,0,0.19,0.1,12,70,65.9,1035847,0.54,28530,0,0,0.1,0.1,0.1
RZ4822,RM129,NORTH,1761000,402134.3051,342932,34710,0.18,0.07,19,70,76.6,897665,0.51,26415,0,0,0.1,0.1,0.1
RZ4829,RM130,SOUTH 2,953000,150575,193850,0,0.1,0.03,20,70,45.4,382069,0.4,14295,0,0,0,0.1,0
RZ4832,RM131,SOUTH 2,1397000,550633.2373,391778,0,0.14,0.09,5,70,61.7,1080070,0.77,20955,0.5,10477.5,0.1,0,0.1
RZ4838,RM132,NORTH,981000,1555228,93823,750,0.1,0.16,21,70,26.6,2038983,2.08,14715,1.5,22072.5,0.2,0.1,0.2
RZ4861,RM133,SOUTH 1,727000,972754.3729,19294,40020,0.07,0.1,16,70,4.2,1295267,1.78,10905,1.5,16357.5,0.1,0.1,0.1
RZ4869,RM134,SOUTH 1,2730000,145279.9492,1024949,27740,0.27,0.12,25,70,85.2,1248159,0.46,40950,0,0,0.1,0.2,0.2
RZ4874,RM135,NORTH,717000,250668,280285,0,0.07,0.05,31,70,65,593620,0.83,10755,0.5,5377.5,0.1,0.2,0.1
RZ4876,RM136,WEST 1,1397000,40647.28814,401369,2100,0.14,0.04,15,70,0,455328,0.33,20955,0,0,0.1,0.1,0.1
RZ4891,RM137,SOUTH 1,1485000,230701.9322,33898,3900,0.15,0.03,18,70,19.5,328125,0.22,22275,0,0,0,0.1,0
RZ4900,RM138,WEST 1,1374000,9707010.441,540462,51683,0.14,1.02,3,70,77.2,12751750,9.28,20610,1.5,30915,1.2,0,1.2
RZ4901,RM139,WEST 1,1274000,399550.3051,1006999,86134.66667,0.13,0.14,16,70,161.6,1635639,1.28,19110,1.3,24843,0.2,0.1,0.2
RZ4925,RM140,SOUTH 1,700000,156698.678,68922,35250,0.07,0.02,24,70,44.3,317670,0.45,10500,0,0,0,0.2,0
RZ4928,RM141,NORTH,1980000,1814257.559,89227,0,0.2,0.19,10,70,34.4,2357049,1.19,29700,1.3,38610,0.2,0.1,0.2
RZ4948,RM142,SOUTH 2,1021000,266201.1017,319560,292310,0.1,0.06,24,70,72.6,1090776,1.07,15315,1.1,16846.5,0.1,0.2,0.1
RZ4979,RM143,SOUTH 1,1573000,185980.2881,19359,1020,0.16,0.02,19,70,13.1,253364,0.16,23595,0,0,0,0.1,0
RZ4981,RM144,SOUTH 1,1360000,666914.3559,102288,212865,0.14,0.08,12,70,32.2,1255228,0.92,20400,0.8,16320,0.1,0.1,0.1
RZ4996,RM145,SOUTH 2,1573000,473210.7797,546316,0,0.16,0.1,33,70,88.7,1137829,0.72,23595,0.5,11797.5,0.1,0.2,0.2
RZ5003,RM146,SOUTH 2,2253000,374892.6949,572329,0,0.23,0.09,17,70,107.6,1040945,0.46,33795,0,0,0.1,0.1,0.1
RZ5059,RM147,WEST 1,1831000,157999.4237,683435,0,0.18,0.08,20,70,86.9,880934,0.48,27465,0,0,0.1,0.1,0.1
RZ5069,RM148,EAST,700000,350008,399031,660,0.07,0.07,9,70,104,837531,1.2,10500,1.3,13650,0.1,0.1,0.1
RZ5107,RM149,NORTH,861000,196065,140342,27000,0.09,0.03,20,70,46.9,425923,0.49,12915,0,0,0,0.1,0
RZ5120,RM150,SOUTH 2,1816000,280285.0678,298662,65350,0.18,0.06,29,70,70.6,747043,0.41,27240,0,0,0.1,0.2,0.1
RZ5133,RM151,WEST 2,982000,186713.7119,189341,12110,0.1,0.04,6,70,44.9,440898,0.45,14730,0,0,0,0,0
RZ5138,RM152,SOUTH 2,700000,276629.8644,523591,37460,0.07,0.08,23,70,97.7,925568,1.32,10500,1.5,15750,0.1,0.2,0.1
RZ5139,RM153,SOUTH 2,859000,162757.8814,140247,45830,0.09,0.03,15,70,0,412439,0.48,12885,0,0,0,0.1,0
RZ5179,RM154,EAST,746000,298474,433253,36900,0.07,0.07,16,70,129,861696,1.16,11190,1.1,12309,0.1,0.1,0.1
RZ5189,RM155,EAST,1494000,398067.2542,372846,31500,0.15,0.08,22,70,56.3,917680,0.61,22410,0,0,0.1,0.2,0.1
RZ5191,RM156,WEST 1,700000,219754.9831,121663,9400,0.07,0.03,13,70,44.8,410457,0.59,10500,0,0,0,0.1,0
RZ5198,RM157,NORTH,1311000,304576.9492,252625,2405,0.13,0.06,29,70,43.3,636954,0.49,19665,0,0,0.1,0.2,0.1
RZ5204,RM158,WEST 1,1514000,3650520.339,693463,82402,0.15,0.43,11,70,79.6,5380216,3.55,22710,1.5,34065,0.5,0.1,0.5
RZ5208,RM159,SOUTH 1,1322000,475607.0508,2967125,89500.66667,0.13,0.34,21,70,1814.5,3695885,2.8,19830,1.5,29745,0.4,0.1,0.5
RZ5222,RM160,SOUTH 1,996000,337262.9831,506192,43200,0.1,0.08,36,70,171.2,992571,1,14940,0.8,11952,0.1,0.2,0.1
RZ5233,RM161,SOUTH 2,1068000,205065,139990,13466.5,0.11,0.03,4,70,51,416521,0.39,16020,0,0,0,0,0
RZ5234,RM162,SOUTH 2,1720000,287433.5593,325805,31020,0.17,0.06,18,70,96.2,731627,0.43,25800,0,0,0.1,0.1,0.1
RZ5235,RM163,SOUTH 1,1062000,909339.1356,296937,9480,0.11,0.12,18,70,81.6,1447831,1.36,15930,1.5,23895,0.1,0.1,0.2
RZ5237,RM164,EAST,996000,51625.42373,197154,0,0.1,0.02,12,70,64.9,261686,0.26,14940,0,0,0,0.1,0
RZ5244,RM165,WEST 1,2830000,5879568.678,1222039,131952.6667,0.28,0.71,25,70,65,8769429,3.1,42450,1.5,63675,0.9,0.2,1
RZ5259,RM166,NORTH,1504000,346949.7288,131323,-4604,0.15,0.05,9,70,35.8,558104,0.37,22560,0,0,0.1,0.1,0.1
RZ5271,RM167,WEST 2,763000,469211,254379,0,0.08,0.07,21,70,58.6,840893,1.1,11445,1.1,12589.5,0.1,0.1,0.1
RZ5276,RM168,SOUTH 1,700000,15571.9322,0,0,0.07,0,7,70,0,19465,0.03,10500,0,0,0,0,0
RZ5281,RM169,SOUTH 1,705000,599703,83407,4250,0.07,0.07,17,70,30,839411,1.19,10575,1.3,13747.5,0.1,0.1,0.1
RZ5282,RM170,NORTH,1251000,111319.1017,243935,24210,0.13,0.04,32,70,60.4,419399,0.34,18765,0,0,0,0.2,0.1
RZ5284,RM171,NORTH,2062000,257958,218590,11631,0.21,0.05,15,70,42.7,558484,0.27,30930,0,0,0.1,0.1,0.1
RZ5288,RM172,EAST,1586000,426904.6441,105204,0,0.16,0.05,26,70,39.8,638835,0.4,23790,0,0,0.1,0.2,0.1
RZ5290,RM173,SOUTH 2,2400000,468712.4407,474954,23769,0.24,0.09,10,70,86.6,1096498,0.46,36000,0,0,0.1,0.1,0.1
RZ5316,RM174,EAST,1608000,110157.8644,167328,170,0.16,0.03,22,70,50.8,305280,0.19,24120,0,0,0,0.2,0
RZ5318,RM175,SOUTH 1,1377000,247656,173168,900,0.14,0.04,20,70,90.1,484088,0.35,20655,0,0,0.1,0.1,0.1
RZ5321,RM176,WEST 1,1342000,1117423.203,222510,0,0.13,0.13,19,70,56.4,1619289,1.21,20130,1.3,26169,0.2,0.1,0.2
RZ5328,RM177,SOUTH 2,1330000,244909.6271,227557,72810,0.13,0.05,17,70,51.1,642909,0.48,19950,0,0,0.1,0.1,0.1
RZ5329,RM178,SOUTH 1,1599000,469573.6949,55003,3080,0.16,0.05,13,70,17.7,646590,0.4,23985,0,0,0.1,0.1,0.1
RZ5339,RM179,EAST,1025000,103918.3898,335246,0,0.1,0.04,14,70,101,465144,0.45,15375,0,0,0.1,0.1,0.1
RZ5347,RM180,SOUTH 1,748000,51190.77966,202262,2550,0.07,0.03,24,70,50.5,270075,0.36,11220,0,0,0,0.2,0
RZ5366,RM181,SOUTH 2,1431000,165610.4746,16045,35135,0.14,0.02,6,70,9.3,275761,0.19,21465,0,0,0,0,0
RZ5381,RM182,EAST,700000,205433,156442,12685,0.07,0.04,33,70,60,432261,0.62,10500,0,0,0,0.2,0.1
RZ5392,RM183,EAST,1347000,318125,27180,0,0.13,0.03,9,70,8.2,424836,0.32,20205,0,0,0,0.1,0
RZ5416,RM184,SOUTH 1,1050000,546918.1864,163002,24975,0.11,0.07,19,70,36.2,884112,0.84,15750,0.5,7875,0.1,0.1,0.1
