RM Name,Zone,Target,Achieved,% Achievement,Activation %,Product Mix %,Persistency %,Digital %,BPI Score,Multiplier,Quality Factor,Final Incentive (Tapered),Gap to Next Achievement Slab,AI Insight
RM_045,West,600000,564000,94,73,61,79,78,83,1,1,6768,36000,Strong Performance
RM_046,East,600000,384000,64,51,48,72,42,59,0.3,1,1382,96000,Increase Premium Achievement
RM_047,West,900000,630000,70,49,32,57,61,58,0.3,0.75,1701,90000,Increase Premium Achievement
RM_048,East,750000,675000,90,65,47,71,74,76,0.6,0.9,4374,75000,Improve Product Mix
RM_049,East,600000,491999,82,74,62,79,84,77,0.6,0.75,2657,108001,Strong Performance
RM_050,West,900000,729000,81,70,54,80,83,75,0.6,1,5249,171000,Strong Performance
RM_051,South,900000,657000,73,59,37,63,50,63,0.6,1,4730,63000,Increase Premium Achievement
RM_052,West,750000,442500,59,47,42,63,63,55,0.3,1,1593,157500,Increase Premium Achievement
RM_053,West,600000,696000,116,78,89,86,89,100,1.5,1,12528,24000,Strong Performance
RM_054,South,750000,607500,81,65,57,77,74,73,0.6,1,4374,142500,Strong Performance
RM_055,South,750000,480000,64,58,36,69,44,58,0.3,0.75,1296,120000,Increase Premium Achievement
RM_056,West,900000,747000,83,66,56,71,85,74,0.6,1,5378,153000,Strong Performance
RM_057,West,600000,558000,93,58,64,74,79,79,0.6,0.9,3616,42000,Activate More Branches
RM_058,North,750000,397500,53,49,35,73,55,52,0.3,1,1431,202500,Increase Premium Achievement
RM_059,East,750000,532500,71,56,33,71,48,61,0.6,1,3834,67500,Increase Premium Achievement
RM_060,West,900000,774000,86,67,65,77,68,77,0.6,0.75,4180,126000,Strong Performance
RM_061,South,750000,652500,87,70,53,84,82,78,0.6,0.75,3524,97500,Strong Performance
RM_062,West,900000,792000,88,72,53,75,74,78,0.6,0.9,5132,108000,Strong Performance
RM_063,East,900000,648000,72,51,29,74,44,60,0.6,0.75,3499,72000,Increase Premium Achievement
RM_064,South,600000,582000,97,64,56,77,79,81,1,0.9,6286,18000,Strong Performance
RM_065,West,600000,366000,61,59,33,69,59,57,0.3,0.9,1186,114000,Increase Premium Achievement
RM_066,East,750000,495000,66,57,37,66,59,59,0.3,1,1782,105000,Increase Premium Achievement
RM_067,South,600000,570000,95,64,47,80,82,79,0.6,0.9,3694,30000,Improve Product Mix
RM_068,South,900000,774000,86,56,51,71,72,73,0.6,0.9,5016,126000,Activate More Branches
RM_069,South,600000,546000,91,66,61,73,67,78,0.6,0.9,3538,54000,Strong Performance
RM_070,West,750000,1095000,146,74,74,84,85,112,1.5,1,19710,30000,Strong Performance
RM_071,West,750000,510000,68,39,36,62,58,56,0.3,0.75,1377,90000,Increase Premium Achievement
RM_072,West,900000,1016999,113,91,66,86,89,98,1,1,12204,63001,Strong Performance
RM_073,East,900000,783000,87,61,59,70,82,76,0.6,0.9,5074,117000,Strong Performance
RM_074,East,600000,546000,91,69,60,71,77,79,0.6,0.9,3538,54000,Strong Performance
RM_075,South,600000,786000,131,79,79,89,92,107,1.5,0.75,10611,54000,Strong Performance
RM_076,South,900000,954000,106,86,61,92,81,93,1,0.9,10303,126000,Strong Performance
RM_077,East,600000,588000,98,62,53,73,81,81,1,0.9,6350,12000,Strong Performance
RM_078,North,600000,510000,85,71,55,82,80,77,0.6,0.9,3305,90000,Strong Performance
RM_079,East,750000,742500,99,58,64,83,79,83,1,0.9,8019,7500,Activate More Branches
RM_080,East,600000,432000,72,35,38,64,60,58,0.3,0.75,1166,48000,Increase Premium Achievement
RM_081,East,900000,521999,58,51,34,68,54,54,0.3,0.75,1409,198001,Increase Premium Achievement
RM_082,North,900000,477000,53,37,46,73,49,51,0.3,0.9,1545,243000,Increase Premium Achievement
RM_083,South,600000,618000,103,71,90,82,84,92,1,0.75,5562,102000,Strong Performance
RM_084,South,750000,667500,89,68,60,84,73,79,0.6,0.75,3604,82500,Strong Performance
RM_085,East,750000,697500,93,72,57,84,71,81,1,0.75,6278,52500,Strong Performance
RM_086,East,600000,738000,123,94,86,81,92,106,1.5,0.75,9963,102000,Strong Performance
RM_087,South,600000,528000,88,59,47,83,74,75,0.6,0.75,2851,72000,Activate More Branches
RM_088,South,900000,603000,67,59,26,62,70,59,0.3,0.75,1628,117000,Increase Premium Achievement
RM_089,North,600000,852000,142,84,78,92,84,113,1.5,1,15336,48000,Strong Performance
RM_090,North,750000,555000,74,39,28,60,45,57,0.3,0.75,1498,45000,Increase Premium Achievement
RM_091,South,600000,276000,46,55,31,61,45,47,0.3,1,994,204000,Increase Premium Achievement
RM_092,North,900000,792000,88,57,46,77,72,74,0.6,0.75,4277,108000,Activate More Branches
RM_093,East,750000,675000,90,74,46,82,82,79,0.6,0.75,3645,75000,Improve Product Mix
RM_094,West,750000,697500,93,56,65,83,74,79,0.6,1,5022,52500,Activate More Branches
RM_095,East,900000,882000,98,56,47,79,66,78,0.6,0.9,5715,18000,Activate More Branches
RM_096,North,750000,592500,79,48,36,67,43,63,0.6,0.75,3200,7500,Increase Premium Achievement
RM_097,West,900000,603000,67,54,43,59,54,59,0.3,1,2171,117000,Increase Premium Achievement
RM_098,East,750000,1065000,142,80,82,85,86,112,1.5,0.9,17253,60000,Strong Performance
RM_099,East,600000,564000,94,64,47,71,74,78,0.6,0.75,3046,36000,Improve Product Mix
RM_100,West,600000,546000,91,67,56,75,67,78,0.6,0.9,3538,54000,Strong Performance
RM_101,West,900000,729000,81,61,51,72,75,71,0.6,1,5249,171000,Strong Performance
RM_102,West,600000,582000,97,62,56,72,71,80,1,1,6984,18000,Strong Performance
RM_103,East,900000,891000,99,71,57,80,66,84,1,0.75,8019,9000,Strong Performance
RM_104,West,600000,504000,84,69,51,75,65,74,0.6,1,3629,96000,Strong Performance
RM_105,West,600000,300000,50,51,26,70,46,48,0.3,0.9,972,180000,Increase Premium Achievement
RM_106,South,750000,622500,83,61,51,84,77,74,0.6,1,4482,127500,Strong Performance
RM_107,West,600000,570000,95,56,47,77,73,77,0.6,0.75,3078,30000,Activate More Branches
RM_108,West,750000,637500,85,70,47,76,71,75,0.6,0.75,3442,112500,Improve Product Mix
RM_109,South,900000,837000,93,56,53,79,65,77,0.6,0.9,5424,63000,Activate More Branches
RM_110,West,600000,570000,95,61,47,77,74,78,0.6,1,4104,30000,Improve Product Mix
RM_111,North,900000,621000,69,48,46,71,42,60,0.6,0.75,3353,99000,Increase Premium Achievement
RM_112,West,750000,600000,80,73,62,79,76,76,0.6,0.75,3240,150000,Strong Performance
RM_113,East,750000,367500,49,36,33,71,59,47,0.3,0.75,992,232500,Increase Premium Achievement
RM_114,East,600000,360000,60,38,36,63,42,51,0.3,0.9,1166,120000,Increase Premium Achievement
RM_115,East,600000,522000,87,58,55,72,75,74,0.6,0.9,3383,78000,Activate More Branches
RM_116,South,900000,1332000,148,86,64,82,85,113,1.5,1,23976,18000,Strong Performance
RM_117,West,900000,945000,105,94,79,87,90,96,1,0.75,8505,135000,Strong Performance
RM_118,East,900000,882000,98,66,58,79,82,83,1,0.75,7938,18000,Strong Performance
RM_119,North,600000,360000,60,47,41,71,58,56,0.3,0.9,1166,120000,Increase Premium Achievement
RM_120,West,750000,667500,89,56,52,74,78,75,0.6,1,4806,82500,Activate More Branches
RM_121,South,750000,487500,65,59,43,56,67,60,0.6,0.75,2632,112500,Increase Premium Achievement
RM_122,North,750000,690000,92,65,64,77,81,80,1,0.9,7452,60000,Strong Performance
RM_123,South,900000,1197000,133,71,81,95,89,107,1.5,0.75,16160,63000,Strong Performance
RM_124,East,750000,652500,87,61,53,75,77,75,0.6,0.75,3524,97500,Strong Performance
RM_125,South,600000,522000,87,66,53,74,82,76,0.6,0.75,2819,78000,Strong Performance
RM_126,West,750000,787500,105,87,88,85,92,96,1,0.75,7088,112500,Strong Performance
RM_127,North,600000,552000,92,74,51,76,81,80,1,1,6624,48000,Strong Performance
RM_128,West,900000,837000,93,65,45,75,84,78,0.6,0.9,5424,63000,Improve Product Mix
RM_129,North,600000,318000,53,38,27,72,43,48,0.3,0.75,859,162000,Increase Premium Achievement
RM_130,South,900000,783000,87,70,48,76,68,76,0.6,0.75,4228,117000,Improve Product Mix
RM_131,West,900000,801000,89,63,59,74,74,77,0.6,0.9,5190,99000,Strong Performance
RM_132,West,600000,378000,63,43,45,64,65,56,0.3,0.9,1225,102000,Increase Premium Achievement
RM_133,South,750000,532500,71,54,38,63,45,61,0.6,1,3834,67500,Increase Premium Achievement
RM_134,North,750000,780000,104,82,71,94,93,93,1,0.75,7020,120000,Strong Performance
RM_135,South,750000,615000,82,58,54,78,82,73,0.6,1,4428,135000,Activate More Branches
RM_136,North,750000,562500,75,58,35,63,51,63,0.6,0.9,3645,37500,Increase Premium Achievement
RM_137,South,750000,630000,84,61,47,81,72,73,0.6,1,4536,120000,Improve Product Mix
RM_138,North,600000,516000,86,72,59,72,79,77,0.6,0.9,3344,84000,Strong Performance
RM_139,North,600000,480000,80,59,48,84,77,71,0.6,0.9,3110,120000,Activate More Branches
RM_140,North,750000,847499,113,73,67,90,91,95,1,1,10170,52501,Strong Performance
RM_141,North,750000,487500,65,35,38,60,44,53,0.3,0.9,1580,112500,Increase Premium Achievement
RM_142,North,900000,1062000,118,84,66,90,89,99,1,0.9,11470,18000,Strong Performance
RM_143,West,900000,567000,63,55,38,55,66,57,0.3,1,2041,153000,Increase Premium Achievement
RM_144,North,750000,637500,85,55,61,75,80,74,0.6,0.75,3442,112500,Activate More Branches
RM_145,West,900000,630000,70,43,26,66,64,57,0.3,1,2268,90000,Increase Premium Achievement
RM_146,East,900000,549000,61,40,28,69,68,53,0.3,1,1976,171000,Increase Premium Achievement
RM_147,West,600000,618000,103,75,61,94,89,90,1,0.75,5562,102000,Strong Performance
RM_148,East,750000,607500,81,68,51,83,66,73,0.6,0.75,3280,142500,Strong Performance
RM_149,East,750000,615000,82,62,63,81,83,75,0.6,0.9,3985,135000,Strong Performance
RM_150,West,600000,750000,125,82,88,88,94,106,1.5,0.75,10125,90000,Strong Performance
RM_151,East,600000,534000,89,75,49,74,67,78,0.6,0.9,3460,66000,Improve Product Mix
RM_152,East,750000,450000,60,53,29,64,53,54,0.3,0.75,1215,150000,Increase Premium Achievement
RM_153,West,900000,1350000,150,77,89,94,81,117,1.5,0.75,18225,0,Strong Performance
RM_154,West,750000,675000,90,70,48,70,82,77,0.6,0.75,3645,75000,Improve Product Mix
RM_155,South,600000,498000,83,60,58,75,84,74,0.6,1,3586,102000,Strong Performance
RM_156,West,900000,1107000,123,79,73,81,82,100,1.5,0.9,17933,153000,Strong Performance
RM_157,North,750000,697500,93,60,47,81,75,77,0.6,0.9,4520,52500,Improve Product Mix
RM_158,South,750000,532500,71,53,30,67,61,60,0.6,0.9,3451,67500,Increase Premium Achievement
RM_159,East,600000,648000,108,72,65,91,98,92,1,0.75,5832,72000,Strong Performance
RM_160,South,900000,512999,57,37,39,73,66,52,0.3,0.75,1385,207001,Increase Premium Achievement
RM_161,East,750000,465000,62,38,30,58,64,52,0.3,1,1674,135000,Increase Premium Achievement
RM_162,East,900000,819000,91,64,65,72,83,79,0.6,1,5897,81000,Strong Performance
RM_163,South,750000,750000,100,69,56,82,81,84,1,1,9000,150000,Strong Performance
RM_164,South,750000,697500,93,64,59,75,83,80,1,0.75,6278,52500,Strong Performance
RM_165,South,600000,534000,89,73,46,72,68,77,0.6,1,3845,66000,Improve Product Mix
RM_166,East,750000,742500,99,60,64,78,71,82,1,1,8910,7500,Strong Performance
RM_167,South,600000,402000,67,49,28,61,56,56,0.3,0.75,1085,78000,Increase Premium Achievement
RM_168,North,900000,891000,99,58,58,81,77,82,1,0.75,8019,9000,Activate More Branches
RM_169,West,600000,491999,82,74,60,74,69,76,0.6,0.75,2657,108001,Strong Performance
RM_170,South,900000,837000,93,65,58,74,84,80,1,0.9,9040,63000,Strong Performance
RM_171,South,900000,792000,88,64,59,72,73,77,0.6,0.9,5132,108000,Strong Performance
RM_172,South,750000,690000,92,61,59,81,82,79,0.6,0.9,4471,60000,Strong Performance
RM_173,North,750000,945000,126,73,67,82,88,100,1.5,1,17010,105000,Strong Performance
RM_174,East,600000,330000,55,45,40,60,66,52,0.3,1,1188,150000,Increase Premium Achievement
RM_175,West,900000,630000,70,40,29,75,54,58,0.3,0.9,2041,90000,Increase Premium Achievement
RM_176,North,600000,288000,48,45,36,60,58,47,0.3,1,1037,192000,Increase Premium Achievement
RM_177,West,750000,675000,90,73,58,77,76,80,1,1,8100,75000,Strong Performance
RM_178,South,600000,450000,75,53,44,62,52,64,0.6,0.75,2430,30000,Increase Premium Achievement
RM_179,North,750000,682500,91,56,55,81,71,77,0.6,0.75,3686,67500,Activate More Branches
RM_180,South,600000,894000,149,80,84,85,97,116,1.5,1,16092,6000,Strong Performance
RM_181,West,900000,810000,90,65,46,72,72,76,0.6,0.9,5249,90000,Improve Product Mix
RM_182,East,600000,552000,92,65,52,79,68,78,0.6,0.75,2981,48000,Strong Performance
RM_183,East,900000,783000,87,72,56,81,71,78,0.6,1,5638,117000,Strong Performance
RM_184,North,750000,1005000,134,94,78,92,93,111,1.5,0.75,13568,45000,Strong Performance
RM_185,North,900000,1116000,124,94,83,92,90,107,1.5,0.75,15066,144000,Strong Performance
RM_186,South,900000,549000,61,48,43,70,51,56,0.3,0.75,1482,171000,Increase Premium Achievement
RM_187,South,600000,384000,64,53,30,64,53,56,0.3,0.9,1244,96000,Increase Premium Achievement
RM_188,South,750000,945000,126,85,74,93,93,105,1.5,0.75,12758,105000,Strong Performance
RM_189,West,900000,468000,52,43,42,66,49,50,0.3,1,1685,252000,Increase Premium Achievement
RM_190,East,900000,783000,87,62,60,81,78,77,0.6,0.75,4228,117000,Strong Performance
RM_191,East,900000,810000,90,74,51,74,84,79,0.6,0.9,5249,90000,Strong Performance
RM_192,East,900000,756000,84,69,51,75,84,75,0.6,0.75,4082,144000,Strong Performance
RM_193,East,750000,615000,82,69,53,85,81,75,0.6,1,4428,135000,Strong Performance
RM_194,South,600000,690000,115,88,70,87,85,99,1,0.9,7452,30000,Strong Performance
RM_195,South,600000,438000,73,42,39,60,43,59,0.3,0.75,1183,42000,Increase Premium Achievement
RM_196,West,600000,486000,81,73,50,73,67,73,0.6,0.9,3149,114000,Strong Performance
RM_197,West,600000,408000,68,38,49,75,45,59,0.3,0.75,1102,72000,Increase Premium Achievement
RM_198,South,750000,502500,67,54,32,61,42,57,0.3,1,1809,97500,Increase Premium Achievement
RM_199,North,900000,855000,95,72,46,84,73,81,1,1,10260,45000,Improve Product Mix
RM_200,North,750000,1050000,140,75,82,93,85,111,1.5,1,18900,75000,Strong Performance
RM_201,West,750000,682500,91,57,65,74,85,78,0.6,0.75,3686,67500,Activate More Branches
RM_202,East,600000,582000,97,64,49,72,68,79,0.6,0.9,3771,18000,Improve Product Mix
RM_203,West,900000,756000,84,70,61,79,80,77,0.6,1,5443,144000,Strong Performance
RM_204,South,750000,945000,126,72,80,83,83,102,1.5,0.9,15309,105000,Strong Performance
RM_205,North,600000,510000,85,60,60,84,71,75,0.6,0.75,2754,90000,Strong Performance
RM_206,East,750000,997500,133,87,62,82,86,106,1.5,0.9,16160,52500,Strong Performance
RM_207,West,900000,441000,49,58,32,67,47,50,0.3,1,1588,279000,Increase Premium Achievement
RM_208,South,600000,360000,60,60,34,69,67,57,0.3,0.75,972,120000,Increase Premium Achievement
RM_209,North,600000,564000,94,67,61,78,76,81,1,0.9,6091,36000,Strong Performance
RM_210,East,900000,441000,49,56,48,59,56,52,0.3,1,1588,279000,Increase Premium Achievement
RM_211,North,900000,801000,89,69,59,77,83,79,0.6,0.9,5190,99000,Strong Performance
RM_212,North,750000,622500,83,63,56,78,78,74,0.6,0.9,4034,127500,Strong Performance
RM_213,North,750000,847499,113,70,67,81,88,93,1,0.75,7627,52501,Strong Performance
RM_214,South,900000,900000,100,74,46,84,66,83,1,0.9,9720,180000,Improve Product Mix
RM_215,West,600000,833999,139,94,79,86,98,114,1.5,0.9,13511,6001,Strong Performance
RM_216,North,750000,660000,88,69,58,78,78,78,0.6,0.9,4277,90000,Strong Performance
RM_217,East,600000,600000,100,63,48,85,82,82,1,1,7200,120000,Improve Product Mix
RM_218,South,750000,1005000,134,84,76,92,84,109,1.5,0.9,16281,45000,Strong Performance
RM_219,North,750000,825000,110,92,83,80,92,98,1,0.75,7425,75000,Strong Performance
RM_220,South,600000,312000,52,38,26,67,61,47,0.3,1,1123,168000,Increase Premium Achievement
RM_221,East,900000,729000,81,64,56,81,81,74,0.6,1,5249,171000,Strong Performance
RM_222,South,600000,846000,141,88,70,89,92,112,1.5,0.9,13705,54000,Strong Performance
RM_223,South,750000,562500,75,60,38,63,48,64,0.6,0.75,3038,37500,Increase Premium Achievement
RM_224,East,900000,846000,94,66,46,75,78,79,0.6,0.9,5482,54000,Improve Product Mix
RM_225,East,900000,531000,59,39,34,70,54,52,0.3,1,1912,189000,Increase Premium Achievement
RM_226,South,900000,972000,108,82,62,86,87,93,1,0.75,8748,108000,Strong Performance
RM_227,South,750000,397500,53,40,41,73,65,51,0.3,1,1431,202500,Increase Premium Achievement
RM_228,South,600000,510000,85,68,57,83,69,76,0.6,0.75,2754,90000,Strong Performance
RM_229,North,750000,630000,84,73,51,84,69,76,0.6,1,4536,120000,Strong Performance
RM_230,East,900000,1350000,150,82,67,89,84,115,1.5,1,24300,0,Strong Performance
RM_231,West,750000,900000,120,83,71,84,89,100,1.5,0.9,14580,150000,Strong Performance
RM_232,West,600000,840000,140,88,83,85,84,113,1.5,0.9,13608,60000,Strong Performance
RM_233,West,600000,546000,91,59,48,74,84,76,0.6,0.75,2948,54000,Activate More Branches
RM_234,East,750000,810000,108,78,71,93,89,94,1,0.75,7290,90000,Strong Performance
RM_235,East,750000,532500,71,47,43,70,54,61,0.6,0.75,2876,67500,Increase Premium Achievement
RM_236,North,600000,498000,83,66,49,83,85,75,0.6,1,3586,102000,Improve Product Mix
RM_237,North,600000,462000,77,52,44,63,65,65,0.6,1,3326,18000,Increase Premium Achievement
RM_238,West,900000,972000,108,75,74,81,91,93,1,0.75,8748,108000,Strong Performance
RM_239,East,900000,810000,90,55,56,70,76,75,0.6,0.9,5249,90000,Activate More Branches
RM_240,South,600000,540000,90,69,54,84,69,79,0.6,1,3888,60000,Strong Performance
RM_241,West,600000,660000,110,83,84,84,87,97,1,0.9,7128,60000,Strong Performance
RM_242,North,750000,480000,64,60,31,69,65,59,0.3,0.75,1296,120000,Increase Premium Achievement
RM_243,West,600000,354000,59,44,37,68,61,54,0.3,1,1274,126000,Increase Premium Achievement
RM_244,South,750000,697500,93,62,65,85,83,81,1,1,8370,52500,Strong Performance
RM_245,East,600000,588000,98,69,56,74,83,83,1,0.75,5292,12000,Strong Performance
RM_246,South,900000,819000,91,56,64,75,84,78,0.6,0.75,4423,81000,Activate More Branches
RM_247,East,900000,657000,73,58,32,66,57,62,0.6,0.9,4257,63000,Increase Premium Achievement
RM_248,North,750000,1034999,138,73,90,91,89,111,1.5,0.9,16767,15001,Strong Performance
RM_249,East,600000,360000,60,56,34,70,69,57,0.3,0.9,1166,120000,Increase Premium Achievement
RM_250,West,600000,402000,67,55,36,60,57,59,0.3,0.9,1302,78000,Increase Premium Achievement
RM_251,North,600000,564000,94,68,47,79,81,80,1,0.75,5076,36000,Improve Product Mix
RM_252,North,600000,683999,114,79,84,82,87,98,1,0.9,7387,36001,Strong Performance
RM_253,West,600000,606000,101,78,71,84,82,89,1,1,7272,114000,Strong Performance
RM_254,East,750000,960000,128,83,63,81,90,103,1.5,0.75,12960,90000,Strong Performance
RM_255,South,750000,765000,102,80,83,91,90,93,1,1,9180,135000,Strong Performance
RM_256,East,900000,521999,58,38,33,65,42,50,0.3,0.9,1691,198001,Increase Premium Achievement
RM_257,South,750000,645000,86,71,52,84,79,77,0.6,0.9,4180,105000,Strong Performance
RM_258,West,750000,795000,106,78,88,85,91,95,1,0.9,8586,105000,Strong Performance
RM_259,South,750000,450000,60,56,41,67,49,56,0.3,0.75,1215,150000,Increase Premium Achievement
RM_260,South,750000,645000,86,74,64,74,79,79,0.6,0.9,4180,105000,Strong Performance
RM_261,South,750000,660000,88,71,53,72,76,77,0.6,0.75,3564,90000,Strong Performance
RM_262,North,900000,855000,95,56,60,84,69,80,1,0.9,9234,45000,Activate More Branches
RM_263,West,750000,510000,68,38,33,60,45,55,0.3,0.9,1652,90000,Increase Premium Achievement
RM_264,West,600000,534000,89,67,57,78,83,78,0.6,0.75,2884,66000,Strong Performance
RM_265,North,900000,414000,46,59,43,71,58,51,0.3,1,1490,306000,Increase Premium Achievement
RM_266,West,600000,798000,133,79,79,81,98,107,1.5,0.75,10773,42000,Strong Performance
RM_267,South,750000,1110000,148,81,60,84,89,112,1.5,0.75,14985,15000,Strong Performance
RM_268,West,750000,652500,87,64,59,80,68,77,0.6,1,4698,97500,Strong Performance
RM_269,East,600000,516000,86,73,47,82,80,77,0.6,0.9,3344,84000,Improve Product Mix
RM_270,West,750000,450000,60,40,37,65,53,53,0.3,0.75,1215,150000,Increase Premium Achievement
RM_271,South,750000,607500,81,56,59,70,72,71,0.6,1,4374,142500,Activate More Branches
RM_272,West,900000,765000,85,58,48,78,84,73,0.6,1,5508,135000,Activate More Branches
RM_273,West,900000,459000,51,51,36,56,58,50,0.3,1,1652,261000,Increase Premium Achievement
RM_274,North,900000,801000,89,55,49,74,79,74,0.6,1,5767,99000,Activate More Branches
RM_275,East,900000,459000,51,43,36,60,66,49,0.3,0.75,1239,261000,Increase Premium Achievement
RM_276,East,900000,792000,88,63,47,75,74,75,0.6,1,5702,108000,Improve Product Mix
RM_277,South,900000,828000,92,68,51,74,67,78,0.6,0.9,5365,72000,Strong Performance
RM_278,South,900000,792000,88,67,56,76,75,77,0.6,0.75,4277,108000,Strong Performance
RM_279,North,900000,747000,83,61,49,83,77,73,0.6,0.9,4841,153000,Improve Product Mix
RM_280,West,750000,622500,83,71,64,78,75,77,0.6,0.75,3362,127500,Strong Performance
RM_281,East,750000,705000,94,64,48,78,81,79,0.6,1,5076,45000,Improve Product Mix
RM_282,North,600000,324000,54,48,29,64,62,50,0.3,0.9,1050,156000,Increase Premium Achievement
RM_283,West,900000,738000,82,71,61,76,81,76,0.6,1,5314,162000,Strong Performance
RM_284,West,900000,756000,84,64,60,80,70,75,0.6,1,5443,144000,Strong Performance
RM_285,South,750000,652500,87,71,54,85,81,78,0.6,1,4698,97500,Strong Performance
RM_286,South,900000,828000,92,62,59,79,68,79,0.6,1,5962,72000,Strong Performance
RM_287,East,600000,576000,96,66,56,79,68,81,1,0.75,5184,24000,Strong Performance
RM_288,West,750000,480000,64,59,38,73,64,60,0.6,1,3456,120000,Increase Premium Achievement
RM_289,East,600000,600000,100,72,48,83,70,83,1,0.75,5400,120000,Improve Product Mix
RM_290,West,600000,570000,95,69,55,79,70,81,1,0.9,6156,30000,Strong Performance
RM_291,East,750000,360000,48,55,44,63,62,51,0.3,0.75,972,240000,Increase Premium Achievement
RM_292,West,750000,577500,77,43,25,70,62,61,0.6,0.75,3118,22500,Increase Premium Achievement
RM_293,South,900000,837000,93,62,46,78,69,77,0.6,0.9,5424,63000,Improve Product Mix
RM_294,East,750000,854999,114,91,70,89,90,99,1,0.9,9234,45001,Strong Performance
RM_295,West,900000,855000,95,56,58,83,65,79,0.6,1,6156,45000,Activate More Branches
RM_296,East,750000,337500,45,59,30,69,44,48,0.3,0.75,911,262500,Increase Premium Achievement
RM_297,South,600000,864000,144,92,63,85,81,112,1.5,0.75,11664,36000,Strong Performance
